device_timestamp_us,sequence,target_frame,written_frame,source_frames,gap_frames,trimmed_frames
6029083,27,0,0,240,0,0
6039044,28,240,240,240,0,0
6059016,31,718,718,240,238,0
6069284,33,965,965,240,7,0
6088996,36,1438,1438,240,233,0
6108994,39,1918,1918,240,240,0
6119063,40,2158,2158,240,0,0
6129049,42,2398,2398,240,0,0
6139134,43,2641,2641,240,3,0
6429061,87,9599,9599,240,6718,0
6439475,88,9849,9849,240,10,0
7899034,308,44879,44879,240,34790,0
7909946,310,45141,45141,240,22,0
7919022,311,45359,45381,240,0,22
7928997,313,45599,45599,240,0,0
7939117,314,45839,45839,240,0,0
7949120,316,46079,46079,240,0,0
7959001,317,46319,46319,240,0,0
7968983,319,46559,46559,240,0,0
7978976,320,46799,46799,240,0,0
7988982,322,47039,47039,240,0,0
7999086,323,47279,47279,240,0,0
8009121,325,47519,47519,240,0,0
8019101,326,47759,47759,240,0,0
8029043,328,47999,47999,240,0,0
8039028,329,48239,48239,240,0,0
8049115,331,48479,48479,240,0,0
8059005,332,48719,48719,240,0,0
8068998,334,48959,48959,240,0,0
8079127,335,49199,49199,240,0,0
8089108,337,49439,49439,240,0,0
8099167,338,49682,49682,240,3,0
8109088,340,49922,49922,240,0,0
8119100,341,50162,50162,240,0,0
8129135,343,50402,50402,240,0,0
8139103,344,50642,50642,240,0,0
8149111,346,50882,50882,240,0,0
8159094,347,51122,51122,240,0,0
8169024,349,51359,51362,240,0,3
8179074,350,51599,51599,240,0,0
8189030,352,51839,51839,240,0,0
8198976,353,52079,52079,240,0,0
8209209,355,52323,52323,240,4,0
8219068,356,52560,52563,240,0,3
8229224,358,52803,52803,240,3,0
8239046,359,53039,53043,240,0,4
8249019,361,53279,53279,240,0,0
8258981,362,53519,53519,240,0,0
8269120,364,53759,53759,240,0,0
8278998,365,53999,53999,240,0,0
8289074,367,54239,54239,240,0,0
8298987,368,54479,54479,240,0,0
8309176,370,54722,54722,240,3,0
8319153,371,54962,54962,240,0,0
8329063,373,55202,55202,240,0,0
8338983,374,55438,55442,240,0,4
8349064,376,55678,55678,240,0,0
8359008,377,55918,55918,240,0,0
8369063,379,56158,56158,240,0,0
8379003,380,56398,56398,240,0,0
8389095,382,56638,56638,240,0,0
8398983,383,56878,56878,240,0,0
8409156,385,57122,57122,240,4,0
8419012,386,57358,57362,240,0,4
8429010,388,57598,57598,240,0,0
8439179,389,57842,57842,240,4,0
