device_timestamp_us,sequence,target_frame,written_frame,source_frames,gap_frames,trimmed_frames
202440016,29585,0,0,240,0,0
202450023,29587,240,240,240,0,0
202460071,29588,480,480,240,0,0
202470202,29590,724,724,240,4,0
202480056,29591,961,964,240,0,3
202490147,29593,1201,1201,240,0,0
202500033,29594,1441,1441,240,0,0
202510024,29596,1681,1681,240,0,0
202520017,29597,1921,1921,240,0,0
202530034,29599,2161,2161,240,0,0
202540020,29600,2401,2401,240,0,0
202550023,29602,2641,2641,240,0,0
202560012,29603,2881,2881,240,0,0
202570115,29605,3121,3121,240,0,0
202580003,29606,3361,3361,240,0,0
202590026,29608,3601,3601,240,0,0
202599992,29609,3841,3841,240,0,0
202610028,29611,4081,4081,240,0,0
202620015,29612,4321,4321,240,0,0
202630036,29614,4561,4561,240,0,0
202640010,29615,4801,4801,240,0,0
202650028,29617,5041,5041,240,0,0
202660015,29618,5281,5281,240,0,0
202670167,29620,5524,5524,240,3,0
202680011,29621,5760,5764,240,0,4
202690028,29623,6000,6000,240,0,0
202700014,29624,6240,6240,240,0,0
202710027,29626,6480,6480,240,0,0
202720015,29627,6720,6720,240,0,0
202730029,29629,6960,6960,240,0,0
202740015,29630,7200,7200,240,0,0
202750027,29632,7440,7440,240,0,0
202760015,29633,7680,7680,240,0,0
202770148,29635,7923,7923,240,3,0
202780038,29636,8163,8163,240,0,0
202790037,29638,8403,8403,240,0,0
202800024,29639,8640,8643,240,0,3
202810037,29641,8880,8880,240,0,0
202820024,29642,9120,9120,240,0,0
202830037,29644,9360,9360,240,0,0
202840035,29645,9600,9600,240,0,0
202850099,29647,9840,9840,240,0,0
202860052,29648,10080,10080,240,0,0
202870038,29650,10320,10320,240,0,0
202879940,29651,10560,10560,240,0,0
202890052,29653,10800,10800,240,0,0
202900022,29654,11040,11040,240,0,0
202910015,29656,11280,11280,240,0,0
202920012,29657,11520,11520,240,0,0
202930031,29659,11760,11760,240,0,0
202940018,29660,12000,12000,240,0,0
202950018,29662,12240,12240,240,0,0
202960012,29663,12480,12480,240,0,0
202970031,29665,12720,12720,240,0,0
202980053,29666,12960,12960,240,0,0
202990057,29668,13200,13200,240,0,0
203000015,29669,13440,13440,240,0,0
203010025,29671,13680,13680,240,0,0
203020010,29672,13920,13920,240,0,0
203030028,29674,14160,14160,240,0,0
203040021,29675,14400,14400,240,0,0
203050040,29677,14640,14640,240,0,0
203060011,29678,14880,14880,240,0,0
203070028,29680,15120,15120,240,0,0
203079949,29681,15360,15360,240,0,0
203090064,29683,15600,15600,240,0,0
203099988,29684,15840,15840,240,0,0
203110032,29686,16080,16080,240,0,0
203120022,29687,16320,16320,240,0,0
203130012,29689,16560,16560,240,0,0
203140000,29690,16800,16800,240,0,0
203150030,29692,17040,17040,240,0,0
203160021,29693,17280,17280,240,0,0
203170012,29695,17520,17520,240,0,0
203180024,29696,17760,17760,240,0,0
203190313,29698,18007,18007,240,7,0
203200027,29699,18240,18247,240,0,7
203210021,29701,18480,18480,240,0,0
203220009,29702,18720,18720,240,0,0
203230031,29704,18960,18960,240,0,0
203239995,29705,19200,19200,240,0,0
203250021,29707,19440,19440,240,0,0
203260014,29708,19680,19680,240,0,0
203270028,29710,19920,19920,240,0,0
203280298,29711,20167,20167,240,7,0
203290211,29713,20407,20407,240,0,0
203300023,29714,20640,20647,240,0,7
203310026,29716,20880,20880,240,0,0
203320021,29717,21120,21120,240,0,0
203330029,29719,21360,21360,240,0,0
203340021,29720,21600,21600,240,0,0
203350029,29722,21840,21840,240,0,0
203360039,29723,22080,22080,240,0,0
203370032,29725,22320,22320,240,0,0
203380025,29726,22560,22560,240,0,0
203390110,29728,22800,22800,240,0,0
203399993,29729,23040,23040,240,0,0
203410037,29731,23280,23280,240,0,0
203420023,29732,23520,23520,240,0,0
203430036,29734,23760,23760,240,0,0
203440017,29735,24000,24000,240,0,0
203450036,29737,24240,24240,240,0,0
203460028,29738,24480,24480,240,0,0
203470033,29740,24720,24720,240,0,0
203480018,29741,24960,24960,240,0,0
203490110,29743,25200,25200,240,0,0
203500031,29744,25440,25440,240,0,0
203510036,29746,25680,25680,240,0,0
203520020,29747,25920,25920,240,0,0
203530033,29749,26160,26160,240,0,0
203540024,29750,26400,26400,240,0,0
203550033,29752,26640,26640,240,0,0
203560020,29753,26880,26880,240,0,0
203570039,29755,27120,27120,240,0,0
203580023,29756,27360,27360,240,0,0
203590110,29758,27600,27600,240,0,0
203600015,29759,27840,27840,240,0,0
203610035,29761,28080,28080,240,0,0
203620020,29762,28320,28320,240,0,0
203630024,29764,28560,28560,240,0,0
203640003,29765,28800,28800,240,0,0
203650034,29767,29040,29040,240,0,0
203660021,29768,29280,29280,240,0,0
203670030,29770,29520,29520,240,0,0
203680013,29771,29760,29760,240,0,0
203690186,29773,30004,30004,240,4,0
203700003,29774,30240,30244,240,0,4
203710035,29776,30480,30480,240,0,0
203720017,29777,30720,30720,240,0,0
203730023,29779,30960,30960,240,0,0
203740010,29780,31200,31200,240,0,0
203750035,29782,31440,31440,240,0,0
203760017,29783,31680,31680,240,0,0
203770023,29785,31920,31920,240,0,0
203780010,29786,32160,32160,240,0,0
203790035,29788,32400,32400,240,0,0
203799924,29789,32640,32640,240,0,0
203810053,29791,32880,32880,240,0,0
203820022,29792,33120,33120,240,0,0
203830031,29794,33360,33360,240,0,0
203840010,29795,33600,33600,240,0,0
203850084,29797,33840,33840,240,0,0
203860042,29798,34080,34080,240,0,0
203870062,29800,34320,34320,240,0,0
203880040,29801,34560,34560,240,0,0
203890113,29803,34800,34800,240,0,0
203900052,29805,35040,35040,240,0,0
203910009,29807,35280,35280,240,0,0
203920009,29808,35520,35520,240,0,0
203930031,29810,35760,35760,240,0,0
203939993,29811,36000,36000,240,0,0
203950027,29813,36240,36240,240,0,0
203960013,29814,36480,36480,240,0,0
203970031,29816,36720,36720,240,0,0
203980016,29817,36960,36960,240,0,0
203990027,29819,37200,37200,240,0,0
204000041,29820,37440,37440,240,0,0
204010066,29822,37680,37680,240,0,0
204020019,29823,37920,37920,240,0,0
204030032,29825,38160,38160,240,0,0
204040016,29826,38400,38400,240,0,0
204050034,29828,38640,38640,240,0,0
204060018,29829,38880,38880,240,0,0
204070032,29831,39120,39120,240,0,0
204080026,29832,39360,39360,240,0,0
204090050,29834,39600,39600,240,0,0
204100120,29835,39840,39840,240,0,0
204110066,29837,40080,40080,240,0,0
204120015,29838,40320,40320,240,0,0
204130033,29840,40560,40560,240,0,0
204140020,29841,40800,40800,240,0,0
204150034,29843,41040,41040,240,0,0
204160016,29844,41280,41280,240,0,0
204170033,29846,41520,41520,240,0,0
204180017,29847,41760,41760,240,0,0
204190031,29849,42000,42000,240,0,0
204200016,29850,42240,42240,240,0,0
204210119,29852,42480,42480,240,0,0
204219988,29853,42720,42720,240,0,0
204230026,29855,42960,42960,240,0,0
204239992,29856,43200,43200,240,0,0
204250022,29858,43440,43440,240,0,0
204260010,29859,43680,43680,240,0,0
204270029,29861,43920,43920,240,0,0
204280013,29862,44160,44160,240,0,0
204290037,29864,44400,44400,240,0,0
204300010,29865,44640,44640,240,0,0
204310115,29867,44880,44880,240,0,0
204320021,29868,45120,45120,240,0,0
204330032,29870,45360,45360,240,0,0
204340015,29871,45600,45600,240,0,0
204350019,29873,45840,45840,240,0,0
204359991,29874,46080,46080,240,0,0
204370032,29876,46320,46320,240,0,0
